q,p,v,l,timeOnRoad
0.30000000000000004,0.0,12,5,3.299751411277848
0.30000000000000004,0.0,12,10,4.301518973558609
0.30000000000000004,0.0,12,20,6.299540777771319
0.30000000000000004,0.0,12,40,9.29923609193063
0.30000000000000004,0.0,12,80,13.300320625710333
0.30000000000000004,0.1,3,5,3.5165841139676175
0.30000000000000004,0.1,3,10,5.442141410056209
0.30000000000000004,0.1,3,20,8.634049553330536
0.30000000000000004,0.1,3,40,15.643554324698572
0.30000000000000004,0.1,3,80,29.458855959340976
0.30000000000000004,0.1,6,5,3.5162695487188316
0.30000000000000004,0.1,6,10,4.7125497135973005
0.30000000000000004,0.1,6,20,6.82206467166606
0.30000000000000004,0.1,6,40,10.525845670333306
0.30000000000000004,0.1,6,80,17.05656334434104
0.30000000000000004,0.1,12,5,3.519293670686884
0.30000000000000004,0.1,12,10,4.712812481310927
0.30000000000000004,0.1,12,20,6.820842814780937
0.30000000000000004,0.1,12,40,9.7924774725749
0.30000000000000004,0.1,12,80,13.790768182719912
0.30000000000000004,0.2,3,5,3.781952811147365
0.30000000000000004,0.2,3,10,5.693355656355248
0.30000000000000004,0.2,3,20,9.145713619221647
0.30000000000000004,0.2,3,40,16.385083719757088
0.30000000000000004,0.2,3,80,30.809284564353433
0.30000000000000004,0.2,6,5,3.7822039528640197
0.30000000000000004,0.2,6,10,5.174302340035426
0.30000000000000004,0.2,6,20,7.401818379960456
0.30000000000000004,0.2,6,40,11.016749379652605
0.30000000000000004,0.2,6,80,17.865303443910737
0.30000000000000004,0.2,12,5,3.781651946035135
0.30000000000000004,0.2,12,10,5.175408764406951
0.30000000000000004,0.2,12,20,7.403193837735321
0.30000000000000004,0.2,12,40,10.4798361101402
0.30000000000000004,0.2,12,80,14.725974995334951
0.30000000000000004,0.30000000000000004,3,5,4.116243654822335
0.30000000000000004,0.30000000000000004,3,10,6.073807806265716
0.30000000000000004,0.30000000000000004,3,20,9.775805227552777
0.30000000000000004,0.30000000000000004,3,40,17.29866622193839
0.30000000000000004,0.30000000000000004,3,80,32.34429404329922
0.30000000000000004,0.30000000000000004,6,5,4.117694983746262
0.30000000000000004,0.30000000000000004,6,10,5.709122259225593
0.30000000000000004,0.30000000000000004,6,20,8.09883612018342
0.30000000000000004,0.30000000000000004,6,40,11.767915850195749
0.30000000000000004,0.30000000000000004,6,80,18.794411185795607
0.30000000000000004,0.30000000000000004,12,5,4.122753210571977
0.30000000000000004,0.30000000000000004,12,10,5.715200995826316
0.30000000000000004,0.30000000000000004,12,20,8.095629650445343
0.30000000000000004,0.30000000000000004,12,40,11.38851174934726
0.30000000000000004,0.30000000000000004,12,80,15.996722512875841
0.30000000000000004,0.4,3,5,4.550357520900391
0.30000000000000004,0.4,3,10,6.642353928840345
0.30000000000000004,0.4,3,20,10.549253692565506
0.30000000000000004,0.4,3,40,18.40098772058155
0.30000000000000004,0.4,3,80,34.103837207791365
0.30000000000000004,0.4,6,5,4.55236309109687
0.30000000000000004,0.4,6,10,6.387175275556516
0.30000000000000004,0.4,6,20,8.978179707734553
0.30000000000000004,0.4,6,40,12.836433286440862
0.30000000000000004,0.4,6,80,20.014880077469783
0.30000000000000004,0.4,12,5,4.555445172492733
0.30000000000000004,0.4,12,10,6.380430917086626
0.30000000000000004,0.4,12,20,8.98447756282582
0.30000000000000004,0.4,12,40,12.589476374252287
